38	3	48	5	43	29	39	-1
38	44	48	5	43	2	31	-1
34	28	48	5	41	35	44	-1
45	4	48	5	61	74	77	-1
47	55	48	5	58	71	75	-1
69	66	48	5	41	5	25	-1
51	49	48	5	53	14	26	-1
28	38	48	5	5	33	42	-1
6	46	48	5	45	81	83	-1
76	71	48	5	5	71	75	-1
6	61	48	5	54	67	71	-1
3	16	48	5	56	11	23	-1
36	56	48	5	43	45	53	-1
67	81	48	5	25	42	25	-1
52	81	48	5	72	38	38	1
3	37	48	5	59	41	49	-1
22	43	48	5	48	16	28	-1
46	61	48	5	48	86	87	-1
7	53	48	5	7	86	87	-1
74	7	48	5	66	65	69	-1
79	41	48	5	66	81	83	-1
74	74	48	5	31	53	52	-1
59	29	48	5	64	75	77	-1
74	78	48	5	75	54	15	1
59	49	48	5	52	45	36	-1
68	63	48	5	73	4	3	1
31	23	48	5	73	5	14	-1
77	57	1	5	37	54	1	1
63	69	48	5	65	41	28	1
24	43	48	5	37	28	38	-1
28	33	48	5	45	22	33	-1
84	44	48	5	48	71	74	-1
69	65	48	5	63	48	41	-1
34	33	48	5	38	35	44	-1
29	41	48	5	48	38	46	-1
84	54	48	5	75	92	7	-1
5	49	48	5	49	46	53	-1
4	45	48	5	38	22	0	-1
67	37	48	5	54	64	68	-1
36	41	48	5	48	47	54	-1
31	47	48	5	29	28	39	-1
56	4	48	5	49	37	46	-1
66	86	48	5	34	41	36	-1
48	42	48	5	45	25	35	-1
44	35	48	5	55	55	61	-1
62	42	48	5	58	79	81	-1
65	51	48	5	66	54	33	1
52	57	48	5	42	47	54	-1
43	4	48	5	58	75	78	-1
64	58	48	5	48	78	73	-1
29	47	48	5	71	65	69	-1
34	67	48	5	52	76	79	-1
36	54	48	5	41	38	46	-1
53	42	48	5	16	29	39	-1
78	68	48	5	83	4	29	1
54	47	48	5	28	33	42	-1
61	47	48	5	0	8	32	-1
34	42	48	5	41	34	43	-1
67	55	1	5	66	58	16	1
65	57	48	5	47	47	51	-1
73	26	48	5	57	75	78	-1
87	49	48	5	61	76	79	-1
88	42	48	5	52	73	75	-1
17	39	48	5	53	3	39	-1
3	51	48	5	42	61	34	-1
29	52	48	5	42	29	39	-1
31	44	48	5	5	79	82	-1
56	51	48	5	34	37	46	-1
49	61	1	5	56	71	74	-1
29	28	48	5	5	42	5	-1
81	44	48	5	42	67	68	-1
63	42	48	5	48	77	8	-1
2	46	48	5	57	78	81	-1
23	58	48	5	37	53	59	-1
23	4	48	5	39	28	38	-1
24	43	48	5	54	52	59	-1
29	39	48	5	52	4	48	-1
63	86	48	5	39	47	34	-1
44	49	48	5	39	38	4	-1
63	71	48	5	6	4	39	-1
43	39	48	5	47	31	41	-1
52	36	48	5	41	28	38	-1
69	67	48	5	3	39	24	-1
63	49	48	5	79	45	28	1
76	41	48	5	5	59	62	-1
34	55	48	5	58	31	41	-1
51	46	48	5	58	31	41	-1
33	45	48	5	45	88	89	-1
42	38	48	5	54	34	43	-1
74	49	48	5	42	54	36	-1
33	37	48	5	46	65	69	-1
35	48	48	5	56	4	48	-1
25	4	48	5	47	33	42	-1
27	42	48	5	37	38	43	-1
85	53	48	5	53	52	35	1
53	38	48	5	44	26	36	-1
78	44	48	5	45	73	68	-1
26	4	48	5	36	26	37	-1
3	44	48	5	49	22	33	-1
4	5	48	5	45	39	47	-1
4	35	48	5	45	33	42	-1
6	61	48	5	49	92	37	-1
44	35	48	5	44	52	59	-1
43	59	48	5	52	49	56	-1
68	78	48	5	43	44	42	-1
27	3	48	5	71	28	39	-1
64	57	48	5	7	33	26	1
7	64	48	5	47	51	47	-1
72	46	48	5	51	66	7	-1
47	47	48	5	22	16	26	-1
81	52	48	5	57	78	8	-1
23	48	48	5	59	88	89	-1
65	55	48	5	34	37	28	-1
71	71	48	5	68	43	36	1
4	46	48	5	42	35	44	-1
2	44	48	5	46	51	57	-1
25	37	48	5	43	26	36	-1
33	47	48	5	53	18	29	-1
63	8	48	5	46	31	29	-1
75	37	48	5	64	7	74	-1
54	57	48	5	56	81	83	-1
5	51	48	5	27	23	34	-1
74	56	48	5	47	68	3	-1
44	28	48	5	43	27	37	-1
